Text ID	Context before	Query_item	Context after	Author	Decade	Genre	Source	Subgenre	Title	Year
4176382	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	Words matter: Trumps taking a dangerous path with his ...	2016
4176541	Last fall , Apple released Enhanced Editions for the "	Harry Potter	" series , which included exclusive animations and author notes	NA	2010	Magazine	TechCrunch	NA	Apple launches Enhanced Editions of â€œA Game of Thronesâ€ on iBooks	2016
4176541	Game of Thrones : Enhanced Edition is slightly cheaper than	Harry Potter	versions were at launch , at versus Harry 's .	NA	2010	Magazine	TechCrunch	NA	Apple launches Enhanced Editions of â€œA Game of Thronesâ€ on iBooks	2016
4176565	, the Dodgers designated left-hander Ian Thomas for assignment .	Harry Potter	author J.K. Rowling felt a personal connection to a particular	NA	2010	Magazine	Vanity Fair	NA	Why J.K. Rowlings Tribute to a Victim of the Orlando Massacre Is So I	2016
4176565	22 year-old employee at Universal Studios ' Wizarding World of	Harry Potter	, received an online tribute from Rowling who posted a	NA	2010	Magazine	Vanity Fair	NA	Why J.K. Rowlings Tribute to a Victim of the Orlando Massacre Is So I	2016
4176628	time from the year at large . Aliza recommends rereading	Harry Potter	. " Rereading it as an adult , I got	NA	2010	Magazine	Mashable	NA	Here are our favorite books of 2016	2016
4176897	for Netflix 's A Series of Unfortunate Events Sure ,	Harry Potter	got the lion 's share of attention and devotion during	NA	2010	Magazine	Vanity Fair	NA	Dont You Dare Watch This Teaser for Netflixs A Series of Unfortunate	2016
4176949	a professional nerd , specializing in independent gaming , and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	The Game Fnatic finale crowns a new League of Legends pro	2016
4177077	Last year , a gallery of textless posters from the	Harry Potter	movies made the internet rounds , but now , again	NA	2010	Magazine	Nerdist	NA	Movie Posters Without Text Are Beautiful Art_ So Here Are 1000 of ...	2016
4177156	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	The most fearsome hawk of all: Donald Trumps careless_ brutal ...	2016
4177171	Factor Images via Getty . Daniel will never not be	Harry Potter	to this millennial , but could be worse . Advertisement	NA	2010	Magazine	Jezebel	NA	The Wokest Baes of August 2016	2016
4177261	lead to " important conversations about difficult topics . "	Harry Potter	's Sorting Hat Inspires the Name of a New Spider	NA	2010	Magazine	Nerdist	NA	Harry Potters Sorting Hat Inspires the Name of a New Spider Species	2016
4177261	to 's advice to " follow the spiders " in	Harry Potter	and the Chamber of Secrets , they found themselves at	NA	2010	Magazine	Nerdist	NA	Harry Potters Sorting Hat Inspires the Name of a New Spider Species	2016
4177261	series of books , featuring everyone 's favorite boy-wizard ,	Harry Potter	. An ode from the authors , for magic lost	NA	2010	Magazine	Nerdist	NA	Harry Potters Sorting Hat Inspires the Name of a New Spider Species	2016
4177352	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does q! q! q!	NA	2010	Magazine	Salon	NA	5 delusional right-wing moments this week: The lunacies of Pence ...	2016
4177424	q! q! q! q! q! q! q! q! q! and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	Gears of War 4 Horde 3.0 trailer has a Run the Jewels twist	2016
4177595	short post ( since deleted ) on , the official	Harry Potter	website , detailing her thoughts about using time travel as	NA	2010	Magazine	The Atlantic	NA	Hillary Clinton and the Peace of the Pantsuit	2016
4177595	device in literature . In the third book in the	Harry Potter	series , The Prisoner of Azkaban , Harry 's friend	NA	2010	Magazine	The Atlantic	NA	Hillary Clinton and the Peace of the Pantsuit	2016
4177595	far too light-heartedly into the subject of time travel in	Harry Potter	and the Prisoner of Azkaban , " Rowling wrote .	NA	2010	Magazine	The Atlantic	NA	Hillary Clinton and the Peace of the Pantsuit	2016
4177679	issue with that however ( apparently there 's a new	Harry Potter	movie coming out ) , forcing Sensible Object to come	NA	2010	Magazine	Engadget	NA	Beasts of Balance is a true digital board game hybrid	2016
4177736	published mostly in the late ' 90s . The "	Harry Potter	" and " Lord Of The Rings " books and	NA	2010	Magazine	Salon	NA	â€œGame of Thronesâ€ goes to war: The once-radical fantasy is now the ...	2016
4177914	and let 's be real , that 's probably mostly	Harry Potter	fans . Meanwhile , an Autodesk robotic arm is printing	NA	2010	Magazine	Engadget	NA	ICYMI: The internet-connected chessboard of your dreams	2016
4178232	a professional nerd , specializing in independent gaming , and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	Game Fnatic: See what it takes to be a League of Legends pro	2016
4178316	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	Israel takes on Facebook in battle against incitement	2016
4178343	way to . This colorful indie title takes inspiration from	Harry Potter	and Zelda : of Time , putting players in the	NA	2010	Magazine	Engadget	NA	Fantasy game Mages of Mystralia is coming to PS4	2016
4178382	q! q! q! girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	Why turnout matters_ even in true-blue districts: Large margins of ...	2016
4178451	volumes of writings from J.K. Rowling about the world of	Harry Potter	collected from the site . A search of Amazon brought	NA	2010	Magazine	Gizmodo	NA	JK Rowling May Be Sellling Three Hogwarts Books_ Full of Info ...	2016
4178451	but it is n't outside the realm of possibility .	Harry Potter	and the Cursed Child , which did monster business ,	NA	2010	Magazine	Gizmodo	NA	JK Rowling May Be Sellling Three Hogwarts Books_ Full of Info ...	2016
4178758	a professional nerd , specializing in independent gaming , and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	Unboxing and playing the League of Legends board game	2016
4178764	based on beloved pop culture properties , like The ,	Harry Potter	, Scooby-Doo , Disney 's Haunted Mansion , and even	NA	2010	Magazine	Nerdist	NA	STAR WARS Version of Classic Board Game CLUE Is Here	2016
4179045	q! q! q! q! q! q! q! q! , and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	Four questions with the founder of Fnatic	2016
4179083	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	No indictment_ no scandal: After a year of email chatter_ we can ...	2016
4179154	. Personally I think Dickinson looks more like a caped	Harry Potter	flying above England on his broomstick , but that 's	NA	2010	Magazine	Nerdist	NA	Stabilized Video of Insane Wingsuit Flight Looks Like CGI	2016
4179166	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	The politics of bigotry: Donald Trump and the rise of white racial ...	2016
4179229	appropriately so in a speech delivered to members of the	Harry Potter	generation . Officially , the topic of Ryan 's speech	NA	2010	Magazine	The Atlantic	NA	The Mystery of Bangladeshs Missing Millions	2016
4179348	lunch with a girl and listening to her talk about	Harry Potter	for 20 minutes " which actually does n't sound like	NA	2010	Magazine	Salon	NA	Make â€œGhostbustersâ€ great again? Reboot culture_ male rage and ...	2016
4179597	) . Fantastic Beasts is the Phantom Menace of the	Harry Potter	franchise Fantastic Binks and Where to Find Them Star Wars	NA	2010	Magazine	The Verge	NA	Fantastic Beasts is the Phantom Menace of the Harry Potter franchise	2016
4179597	viewing : Fantastic Beasts is the Phantom Menace of the	Harry Potter	world . Now , I realize that 's an extreme	NA	2010	Magazine	The Verge	NA	Fantastic Beasts is the Phantom Menace of the Harry Potter franchise	2016
4179597	for move . It was announced as the first major	Harry Potter	movie series in years , coming almost a decade after	NA	2010	Magazine	The Verge	NA	Fantastic Beasts is the Phantom Menace of the Harry Potter franchise	2016
4179597	closed the book on more world stories with the novel	Harry Potter	and the Deathly Hallows in the summer of 2007 .	NA	2010	Magazine	The Verge	NA	Fantastic Beasts is the Phantom Menace of the Harry Potter franchise	2016
4179597	. After surviving for years off short snippets of new	Harry Potter	lore on her website , fans were now faced with	NA	2010	Magazine	The Verge	NA	Fantastic Beasts is the Phantom Menace of the Harry Potter franchise	2016
4179607	a professional nerd , specializing in independent gaming , and	Harry Potter	. She 's written for online outlets since 2008 ,	NA	2010	Magazine	Engadget	NA	League of Legends is about to change and its all your fault	2016
4179806	bemoaning the fact that he was passed over for the	Harry Potter	films " There was a whole family of ginger people	NA	2010	Magazine	Vanity Fair	NA	How One Film Franchise Scarred Two of Hollywoods Finest Actors	2016
4179852	creative . And publishers repeatedly turned down J.K. Rowling 's	Harry Potter	before Bloomsbury picked it up in 1997 . ( The	NA	2010	Magazine	Mother Jones	NA	One Crazy Fact That Science Says Could Decide Game 7 of the ...	2016
4186172	turns out magic is real . Frequently referred to as	Harry Potter	for grownups , " The Magicians " is adapted from	NA	2010	News	New York Post	NA	Its Hogwarts-meets-Gossip Girl in the world of Syfys The Magicians	2016
4187192	as well as screens interspersed with actors from the "	Harry Potter	" films , Harry Potter and the Forbidden Journey is	NA	2010	News	Los Angeles Times	NA	Wizarding World of Harry Potter ride may conjure a new path for ...	2016
4187192	with actors from the " Harry Potter " films ,	Harry Potter	and the Forbidden Journey is a highly kinetic motion simulator	NA	2010	News	Los Angeles Times	NA	Wizarding World of Harry Potter ride may conjure a new path for ...	2016
4187192	experiences . " That meant , for instance , "	Harry Potter	" actors would be making an appearance in the ride	NA	2010	News	Los Angeles Times	NA	Wizarding World of Harry Potter ride may conjure a new path for ...	2016
4187192	q! q! q! q! q! q! q! q! q! q!	Harry Potter	and Ron and Hermione was really something we thought we	NA	2010	News	Los Angeles Times	NA	Wizarding World of Harry Potter ride may conjure a new path for ...	2016
4187192	Sampling the grub at Three at the Wizarding World of	Harry Potter	In anticipation of the opening of the q! q! q!	NA	2010	News	Los Angeles Times	NA	Wizarding World of Harry Potter ride may conjure a new path for ...	2016
4187192	In anticipation of the opening of the Wizarding World of	Harry Potter	at Universal Studios Hollywood , we take a culinary excursion	NA	2010	News	Los Angeles Times	NA	Wizarding World of Harry Potter ride may conjure a new path for ...	2016
4188272	son painful . The Constitution was beat out only by	Harry Potter	and the Cursed Child . The bump in sales comes	NA	2010	News	Dallas Morning News	NA	Constitution a best-seller in wake of Trumps clash with Muslim ...	2016
4188341	by staff writers . Aberdeen mother shares her love of	Harry Potter	with her teenage children Aberdeen resident Jennifer Davis , 35	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	Davis , 35 , has been a fan of the	Harry Potter	series since the first novel was released in 1997 ,	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	q! q! q! q! q! the adventures of boy wizard	Harry Potter	and his friends at the Hogwarts School of Witchcraft and	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	Witchcraft and Wizardry in Great Britain , is called "	Harry Potter	and the Cursed Child . " The book , which	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	in London Saturday , was released worldwide Sunday . '	Harry Potter	and the Cursed Child ' DAVID ANDERSON AEGIS STAFF Caleb	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	party at the Bel Air library branch for the latest	Harry Potter	book Saturday night . The children 's father , Jason	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	at the Bel Air Library Saturday night for the latest	Harry Potter	book . Ethan is wearing a Quidditch robe . Members	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	at the Bel Air Library Saturday night for the latest	Harry Potter	book . Ethan is wearing a Quidditch robe . (	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	q! q! q! q! q! q! q! q! q! in	Harry Potter	. The Cursed Child story picks up 19 years after	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	story picks up 19 years after the end of "	Harry Potter	and the Deathly Hallows , " which was released in	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	in Florida has been turned into the Wizarding World of	Harry Potter	. British author J.K. Rowling wrote the first seven books	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188341	Air opened at midnight Sunday for early sales of "	Harry Potter	and the Cursed q! q! q! q! q! q! q!	NA	2010	News	Baltimore Sun	NA	Harford Library celebrates the release of the eighth Harry Potter ...	2016
4188496	Bros ' " pedigree of " from franchises such as	Harry Potter	and The Lord of the Rings . " It 's	NA	2010	News	USA TODAY	NA	2016 brings Batman_ Superman and the Dawn of a new superhero ...	2016
4189387	suggesting it should have been named after the beloved "	Harry Potter	" character Hermione or the late Cincinnati gorilla Harambe .	NA	2010	News	New York Post	NA	Twitter is not happy about the name of Tropical Storm Hermine	2016
4189387	Hermione , after the brainy wizard who is one of	Harry Potter	's best friends in the fantasy series . Cleburne mother	NA	2010	News	New York Post	NA	Twitter is not happy about the name of Tropical Storm Hermine	2016
4189980	2016 PEN Literary Gala and Free Expression Awards , the	Harry Potter	author brought up the petition last year that attempted to	NA	2010	News	Colorado Springs Gazette	NA	JK Rowling attacks safe spaces_ defends Trumps freedom of speech	2016
4190521	) J. K. Rowling , the author of the "	Harry Potter	" series , posted on Twitter that Scotland would now	NA	2010	News	New York Times	NA	Scottish Leader Warns of a 2nd Try at Independence	2016
4190633	J.K. Rowling to release three story collections about world of	Harry Potter	She just ca n't quit him ! J.K. Rowling ,	NA	2010	News	Minneapolis Star Tribune	NA	JK Rowling to release three story collections about world of Harry ...	2016
4190633	J.K. Rowling , who said she was done writing about	Harry Potter	, is set to release three short-story collections about the	NA	2010	News	Minneapolis Star Tribune	NA	JK Rowling to release three story collections about world of Harry ...	2016
4190742	a student at Hogwarts , the wizard school of the	Harry Potter	series , and her teacher , Professor Coral . Nelson	NA	2010	News	OCRegister	NA	Trash meets fashion at Festival of Arts runway show	2016
4191092	Only a few weeks before the opening of its much-anticipated	Harry Potter	attraction , Universal Studios Hollywood performed a shrinking spell on	NA	2010	News	Los Angeles Times	NA	California Inc.: The age of virtual reality has arrived	2016
4191159	go back to Hogwart 's The cornerstone of the "	Harry Potter	" universe is magic . The magic has gone missing	NA	2010	News	The Detroit News	NA	Review: Fantastic Beasts misses magic of Harry Potter	2016
4191159	wonder . Director David Yates steered the final four "	Harry Potter	" movies , so he knows the terrain . But	NA	2010	News	The Detroit News	NA	Review: Fantastic Beasts misses magic of Harry Potter	2016
4191453	q! Pikachu . " ( Photo : Phil Peckinpaugh )	Harry Potter	The books and movies may be over , but the	NA	2010	News	USA TODAY	NA	And the most popular pop-culture dog names of 2016 are ...	2016
4191765	also worked at Universal Studios at the Wizarding World of	Harry Potter	. His high school friend Eddi Anderson told the Tampa	NA	2010	News	New York Times	NA	Florida Shooting: Live Updates	2016
4191765	job there . J.K. Rowling , the author of the	Harry Potter	book series that spawned films and the theme park ,	NA	2010	News	New York Times	NA	Florida Shooting: Live Updates	2016
4192202	thief who lives closer than expected , to a faraway	Harry Potter	fan who delivers death threats q! q! q! q! q!	NA	2010	News	USA TODAY	NA	Podcast pick of the week: Listen to Criminal for Halloween	2016
4171457	. Fantastic Beasts and Where to Find Them , a	Harry Potter	spinoff with Eddie Redmayne and Catherine Waterston , who actually	NA	2010	Spoken	TODAY SHOW 7:00 AM EST	NA	This year`s tree comes from Oneonta in Upstate New York.	2016
4171457	Oscar winner Eddie . We 'll be right back .	Harry Potter	q! q! q! q! q! q! q! q! q! q!	NA	2010	Spoken	TODAY SHOW 7:00 AM EST	NA	This year`s tree comes from Oneonta in Upstate New York.	2016
4171464	q! q! q! q! works his magic in the new	Harry Potter	prequel . And we 'll take you on a tour	NA	2010	Spoken	TODAY SHOW 7:00 AM EST	NA	Director Robert Zemeckis has established himself as a Hollywood icon_ writing_ producing and directing movies for more than four decades now.	2016
4171494	He , he passed . He was in the "	Harry Potter	" series , " Galaxy Quest ... " " Love	NA	2010	Spoken	THE VIEW 11:29 AM EST	NA	HOT TOPICS	2016
4171737	'm better than this . I he does Like the	Harry Potter	situation . Exactly . Yeah . He despised Holmes .	NA	2010	Spoken	AXE FILES 12:00 AM EST	NA	Interview with Graham Moore	2016
4171760	's true . Time for a quick break . "	Harry Potter	" headlines " Harry Potter " headlines a London stage	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	4 Dead_ 2 Arrested in Tel Aviv Terror Attack; Poll: Majority of Other European Countries Say Britain Should Stay in E.U.; Rio Races to Get Ready for Olympic Games; Harry Potter Hits the Stage; Hilla	2016
4171760	a quick break . " Harry Potter " headlines "	Harry Potter	" headlines a London stage and Muggles are happier than	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	4 Dead_ 2 Arrested in Tel Aviv Terror Attack; Poll: Majority of Other European Countries Say Britain Should Stay in E.U.; Rio Races to Get Ready for Olympic Games; Harry Potter Hits the Stage; Hilla	2016
4171760	no idea what that was . Moving on , "	Harry Potter	" fans are spellbound by the new stage play in	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	4 Dead_ 2 Arrested in Tel Aviv Terror Attack; Poll: Majority of Other European Countries Say Britain Should Stay in E.U.; Rio Races to Get Ready for Olympic Games; Harry Potter Hits the Stage; Hilla	2016
4171760	up in London to see the first showing of "	Harry Potter	and the Cursed Child " Tuesday . The new play	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	4 Dead_ 2 Arrested in Tel Aviv Terror Attack; Poll: Majority of Other European Countries Say Britain Should Stay in E.U.; Rio Races to Get Ready for Olympic Games; Harry Potter Hits the Stage; Hilla	2016
4171760	31st , which happens to be to Rowling 's and	Harry Potter	's birthday . Jonathan Mann , CNN . ( END	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	4 Dead_ 2 Arrested in Tel Aviv Terror Attack; Poll: Majority of Other European Countries Say Britain Should Stay in E.U.; Rio Races to Get Ready for Olympic Games; Harry Potter Hits the Stage; Hilla	2016
4171776	enchant us. ( BEGIN VIDEO CLIP ) , This is	Harry Potter	and the Forbidden Journey . It 's like a movie	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	Republican Clash Over New York Values; Clinton and Sanders Battle of New York Primary Intensifies; North Korea May Have Mid-Range Nuclear Capability; Belgian Security Services under Security over Atta	2016
4171776	, Universal Studios Hollywood is debuting the wizarding world of	Harry Potter	. ( on camera ) : That was fun ,	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	Republican Clash Over New York Values; Clinton and Sanders Battle of New York Primary Intensifies; North Korea May Have Mid-Range Nuclear Capability; Belgian Security Services under Security over Atta	2016
4171776	, We want them to know they 're really in	Harry Potter	's world . Allen Gilmore , who worked on the	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	Republican Clash Over New York Values; Clinton and Sanders Battle of New York Primary Intensifies; North Korea May Have Mid-Range Nuclear Capability; Belgian Security Services under Security over Atta	2016
4171776	, who worked on the second , third and fourth	Harry Potter	movies , is charged with taking the film designs and	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	Republican Clash Over New York Values; Clinton and Sanders Battle of New York Primary Intensifies; North Korea May Have Mid-Range Nuclear Capability; Belgian Security Services under Security over Atta	2016
4171776	. The boy who lived . This ride is called	Harry Potter	and the Forbidden Journey . It 's like a movie	NA	2010	Spoken	CNN NEWSROOM 1:00 AM EST	NA	Republican Clash Over New York Values; Clinton and Sanders Battle of New York Primary Intensifies; North Korea May Have Mid-Range Nuclear Capability; Belgian Security Services under Security over Atta	2016
4171803	refuse to mention his name . Like Lord Baltimore and	Harry Potter	. He q! q! q! q! q! q! q! q!	NA	2010	Spoken	ANDERSON COOPER 360 DEGREES 8:00 PM EST	NA	Donald Trump	2016
4171820	are demanding a king 's ransom to see the new	Harry Potter	play . Ticket prices in the secondary market are reaching	NA	2010	Spoken	CBS THIS MORNING 7:00 AM EST	NA	In the five years since graduating from Hogwarts_ Daniel Radcliffe_	2016
4171820	get tickets to those hard to get tickets for the	Harry Potter	play . In the five years since graduating from Hogwarts	NA	2010	Spoken	CBS THIS MORNING 7:00 AM EST	NA	In the five years since graduating from Hogwarts_ Daniel Radcliffe_	2016
4171820	from Hogwarts , Daniel Radcliffe , the star of the	Harry Potter	movies , has played everything from a talking corpse to	NA	2010	Spoken	CBS THIS MORNING 7:00 AM EST	NA	In the five years since graduating from Hogwarts_ Daniel Radcliffe_	2016
4171820	about this movie , can you get tickets to that	Harry Potter	play ? Have you heard of it ? : I	NA	2010	Spoken	CBS THIS MORNING 7:00 AM EST	NA	In the five years since graduating from Hogwarts_ Daniel Radcliffe_	2016
