ID,Picture,Name_German,Name_English,Name_Japanese,Name_Japanese2,Generazion_Picture,Type,KP ,Status_Attack,Status_SpecialAttack,Status_Defense,Status_SpecialDefense,Status_Initiative,Status_Sum,Class,Height_m,Weight_kg,Color,Form,Name_Form
24,Arbok ,Arbok ,Arbok ,Arbok ,アーボック ,1. Generation Gen1 ,Gift,324,289,229,237,257,259,1595,PU,3.5,65,purple,Form 2: Schlangen-Form ,Kobra
25,Pikachu ,Pikachu ,Pikachu ,Pikachu ,ピカチュウ ,1. Generation Gen1 ,Elektro,274,209,199,179,199,279,1339,NFE,0.4,6,yellow,Form 8: Vierbeiner ,Maus
26,Raichu ,Raichu ,Raichu ,Raichu ,ライチュウ ,1. Generation Gen1 ,Elektro,324,279,279,209,259,319,1669,NU,0.8,30,yellow,Form 6: Zweibeiner mit Schweif ,Maus
27,Sandan ,Sandan ,Sandshrew ,Sand ,サンド ,1. Generation Gen1 ,Boden,304,249,139,269,159,179,1299,LC,0.6,12,yellow,Form 6: Zweibeiner mit Schweif ,Maus
28,Sandamer ,Sandamer ,Sandslash ,Sandpan ,サンドパン ,1. Generation Gen1 ,Boden,354,299,189,319,209,229,1599,NU,1,29.5,yellow,Form 6: Zweibeiner mit Schweif ,Maus
29,Nidoran (♀) ,Nidoran (♀) ,Nidoran (♀) ,Nidoran (♀) ,ニドラン♀ ,1. Generation Gen1 ,Gift,314,193,179,203,179,181,1249,LC,0.4,7,blue,Form 8: Vierbeiner ,Giftdorn
30,Nidorina ,Nidorina ,Nidorina ,Nidorina ,ニドリーナ ,1. Generation Gen1 ,Gift,344,223,209,233,209,211,1429,NFE,0.8,20,blue,Form 8: Vierbeiner ,Giftdorn
31,Nidoqueen ,Nidoqueen ,Nidoqueen ,Nidoqueen ,ニドクイン ,1. Generation Gen1 ,GiftBoden,384,283,249,273,269,251,1709,RU,1.3,60,blue,Form 6: Zweibeiner mit Schweif ,Bohrer
32,Nidoran (♂) ,Nidoran (♂) ,Nidoran (♂) ,Nidoran (♂) ,ニドラン (♂) ,1. Generation Gen1 ,Gift,296,213,179,179,179,199,1245,LC,0.5,9,purple,Form 8: Vierbeiner ,Giftdorn
33,Nidorino ,Nidorino ,Nidorino ,Nidorino ,ニドリーノ ,1. Generation Gen1 ,Gift,326,243,209,213,209,229,1429,NFE,0.9,19.5,purple,Form 8: Vierbeiner ,Giftdorn
34,Nidoking ,Nidoking ,Nidoking ,Nidoking ,ニドキング ,1. Generation Gen1 ,GiftBoden,366,303,269,253,249,269,1709,UU,1.4,62,purple,Form 6: Zweibeiner mit Schweif ,Bohrer
35,Piepi ,Piepi ,Clefairy ,Pippi ,ピッピ ,1. Generation Gen1 ,Fee,344,189,219,195,229,169,1345,NFE,0.6,7.5,pink,Form 6: Zweibeiner mit Schweif ,Fee
36,Pixi ,Pixi ,Clefable ,Pixy ,ピクシー ,1. Generation Gen1 ,Fee,394,239,289,245,279,219,1665,OU,1.3,40,pink,Form 6: Zweibeiner mit Schweif ,Fee
37,Vulpix ,Vulpix ,Vulpix ,Rokon ,ロコン ,1. Generation Gen1 ,Feuer,280,181,199,179,229,229,1297,NFE,0.6,9.9,brown,Form 8: Vierbeiner ,Fuchs
38,Vulnona ,Vulnona ,Ninetales ,Kyukon ,キュウコン ,1. Generation Gen1 ,Feuer,350,251,261,249,299,299,1709,OU,1.1,19.9,yellow,Form 8: Vierbeiner ,Fuchs
39,Pummeluff ,Pummeluff ,Jigglypuff ,Purin ,プリン ,1. Generation Gen1 ,NormalFee,434,189,189,139,149,139,1239,NFE,0.5,5.5,pink,Form 12: Humanoider Körper ,Ballon
40,Knuddeluff ,Knuddeluff ,Wigglytuff ,Pukurin ,プクリン ,1. Generation Gen1 ,NormalFee,484,239,269,189,199,189,1569,PU,1,12,pink,Form 12: Humanoider Körper ,Ballon
41,Zubat ,Zubat ,Zubat ,Zubat ,ズバット ,1. Generation Gen1 ,GiftFlug,284,189,159,169,179,209,1189,LC,0.8,7.5,purple,Form 9: Vogel-Form ,Fledermaus
42,Golbat ,Golbat ,Golbat ,Golbat ,ゴルバット ,1. Generation Gen1 ,GiftFlug,354,259,229,239,249,279,1609,NFE,1.6,55,purple,Form 9: Vogel-Form ,Fledermaus
43,Myrapla ,Myrapla ,Oddish ,Nazonokusa ,ナゾノクサ ,1. Generation Gen1 ,PflanzeGift,294,199,249,209,229,159,1339,LC,0.5,5.4,blue,Form 7: Kopf überwiegend mit Beinen ,Unkraut
44,Duflor ,Duflor ,Gloom ,Kusaihana ,クサイハナ ,1. Generation Gen1 ,PflanzeGift,324,229,269,239,249,179,1489,NFE,0.8,8.6,blue,Form 12: Humanoider Körper ,Unkraut
45,Giflor ,Giflor ,Vileplume ,Ruffresia ,ラフレシア ,1. Generation Gen1 ,PflanzeGift,354,259,319,269,279,199,1679,NU,1.2,18.6,red,Form 12: Humanoider Körper ,Blume
46,Paras ,Paras ,Paras ,Paras ,パラス ,1. Generation Gen1 ,KäferPflanze,274,239,189,209,209,149,1269,LC,0.3,5.4,red,Form 14: Kriechende Insekten ,Pilz
47,Parasek ,Parasek ,Parasect ,Parasect ,パラセクト ,1. Generation Gen1 ,KäferPflanze,324,289,219,259,259,159,1509,PU,1,29.5,red,Form 14: Kriechende Insekten ,Pilz
48,Bluzuk ,Bluzuk ,Venonat ,Kongpang ,コンパン ,1. Generation Gen1 ,KäferGift,324,209,179,199,209,189,1309,LC,1,30,purple,Form 12: Humanoider Körper ,Insekt
49,Omot ,Omot ,Venomoth ,Morphon ,モルフォン ,1. Generation Gen1 ,KäferGift,344,229,279,219,249,279,1599,BL2,1.5,12.5,purple,Form 13: Geflügelte Insekten ,Giftmotte
50,Digda ,Digda ,Diglett ,Digda ,ディグダ ,1. Generation Gen1 ,Boden,224,209,169,149,189,289,1229,LC,0.2,0.8,brown,Form 5: Kopf überwiegend mit Rumpf ,Maulwurf
51,Digdri ,Digdri ,Dugtrio ,Dugtrio ,ダグトリオ ,1. Generation Gen1 ,Boden,274,299,199,199,239,339,1549,RU,0.7,33.3,brown,Form 11: Multiple Körper ,Maulwurf
52,Mauzi ,Mauzi ,Meowth ,Nyarth ,ニャース ,1. Generation Gen1 ,Normal,284,189,179,169,179,279,1279,LC,0.4,4.2,yellow,Form 8: Vierbeiner ,Katze
53,Snobilikat ,Snobilikat ,Persian ,Persian ,ペルシアン ,1. Generation Gen1 ,Normal,334,239,229,219,229,329,1579,NU,1,32,yellow,Form 8: Vierbeiner ,Rassekatze
54,Enton ,Enton ,Psyduck ,Koduck ,コダック ,1. Generation Gen1 ,Wasser,304,203,229,195,199,209,1339,LC,0.8,19.6,yellow,Form 6: Zweibeiner mit Schweif ,Ente
55,Entoron ,Entoron ,Golduck ,Golduck ,ゴルダック ,1. Generation Gen1 ,Wasser,364,263,289,255,259,269,1699,PU,1.7,76.6,blue,Form 6: Zweibeiner mit Schweif ,Ente
56,Menki ,Menki ,Mankey ,Mankey ,マンキー ,1. Generation Gen1 ,Kampf,284,259,169,169,189,239,1309,LC,0.5,28,brown,Form 6: Zweibeiner mit Schweif ,Schwein / Affe
57,Rasaff ,Rasaff ,Primeape ,Okorizaru ,オコリザル ,1. Generation Gen1 ,Kampf,334,309,219,219,239,289,1609,NU,1,32,brown,Form 6: Zweibeiner mit Schweif ,Schwein / Affe
58,Fukano ,Fukano ,Growlithe ,Gardie ,ガーディ ,1. Generation Gen1 ,Feuer,314,239,239,189,199,219,1399,LC,0.7,19,brown,Form 8: Vierbeiner ,Hund
59,Arkani ,Arkani ,Arcanine ,Windie ,ウインディ ,1. Generation Gen1 ,Feuer,384,319,299,259,259,289,1809,UU,1.9,155,brown,Form 8: Vierbeiner ,Legendär
60,Quapsel ,Quapsel ,Poliwag ,Nyoromo ,ニョロモ ,1. Generation Gen1 ,Wasser,284,199,179,179,179,279,1299,LC,0.6,12.4,blue,Form 7: Kopf überwiegend mit Beinen ,Kaulquappe
61,Quaputzi ,Quaputzi ,Poliwhirl ,Nyorozo ,ニョロゾ ,1. Generation Gen1 ,Wasser,334,229,199,229,199,279,1469,NFE,1,20,blue,Form 12: Humanoider Körper ,Kaulquappe
62,Quappo ,Quappo ,Poliwrath ,Nyorobon ,ニョロボン ,1. Generation Gen1 ,WasserKampf,384,289,239,289,279,239,1719,NU,1.3,54,blue,Form 12: Humanoider Körper ,Kaulquappe
63,Abra ,Abra ,Abra ,Casey ,ケーシィ ,1. Generation Gen1 ,Psycho,254,139,309,129,209,279,1319,LC,0.9,19.5,brown,Form 6: Zweibeiner mit Schweif ,Psi
64,Kadabra ,Kadabra ,Kadabra ,Yungerer ,ユンゲラー ,1. Generation Gen1 ,Psycho,284,169,339,159,239,309,1499,NFE,1.3,56.5,brown,Form 6: Zweibeiner mit Schweif ,Psi
65,Simsala ,Simsala ,Alakazam ,Foodin ,フーディン ,1. Generation Gen1 ,Psycho,314,199,369,189,289,339,1699,OU,1.5,48,brown,Form 12: Humanoider Körper ,Psi
66,Machollo ,Machollo ,Machop ,Wanriky ,ワンリキー ,1. Generation Gen1 ,Kampf,344,259,169,199,169,169,1309,LC,0.8,19.5,grey,Form 6: Zweibeiner mit Schweif ,Kraftprotz
67,Maschock ,Maschock ,Machoke ,Goriky ,ゴーリキー ,1. Generation Gen1 ,Kampf,364,299,199,239,219,189,1509,NFE,1.5,70.5,grey,Form 12: Humanoider Körper ,Kraftprotz
68,Machomei ,Machomei ,Machamp ,Kairiky ,カイリキー ,1. Generation Gen1 ,Kampf,384,359,229,259,269,209,1709,RU,1.6,130,grey,Form 12: Humanoider Körper ,Kraftprotz
69,Knofensa ,Knofensa ,Bellsprout ,Madatsubomi ,マダツボミ ,1. Generation Gen1 ,PflanzeGift,304,249,239,169,159,179,1299,LC,0.7,4,green,Form 12: Humanoider Körper ,Blume
70,Ultrigaria ,Ultrigaria ,Weepinbell ,Utsudon ,ウツドン ,1. Generation Gen1 ,PflanzeGift,334,279,269,199,189,209,1479,NFE,1,6.4,green,Form 5: Kopf überwiegend mit Rumpf ,Fliegentot
71,Sarzenia ,Sarzenia ,Victreebel ,Utsubot ,ウツボット ,1. Generation Gen1 ,PflanzeGift,364,309,299,229,239,239,1679,PU,1.7,15.5,green,Form 5: Kopf überwiegend mit Rumpf ,Fliegentot
72,Tentacha ,Tentacha ,Tentacool ,Menokurage ,メノクラゲ ,1. Generation Gen1 ,WasserGift,284,179,199,169,299,239,1369,LC,0.9,45.5,blue,Form 10: Tentakel-Körper ,Qualle
73,Tentoxa ,Tentoxa ,Tentacruel ,Dokukurage ,ドククラゲ ,1. Generation Gen1 ,WasserGift,364,239,259,229,339,299,1729,UU,1.6,55,blue,Form 10: Tentakel-Körper ,Qualle
74,Kleinstein ,Kleinstein ,Geodude ,Isitsubute ,イシツブテ ,1. Generation Gen1 ,GesteinBoden,284,259,159,299,159,139,1299,LC,0.4,20,brown,Form 4: Kopf überwiegend mit Armen ,Gestein
75,Georok ,Georok ,Graveler ,Golone ,ゴローン ,1. Generation Gen1 ,GesteinBoden,314,289,189,329,189,169,1479,NFE,1,105,brown,Form 12: Humanoider Körper ,Gestein
76,Geowaz ,Geowaz ,Golem ,Golonya ,ゴローニャ ,1. Generation Gen1 ,GesteinBoden,364,339,209,359,229,189,1689,NU,1.4,300,brown,Form 12: Humanoider Körper ,Urgestein
77,Ponita ,Ponita ,Ponyta ,Ponyta ,ポニータ ,1. Generation Gen1 ,Feuer,304,269,229,209,229,279,1519,LC,1,30,red,Form 8: Vierbeiner ,Feuerpferd
78,Gallopa ,Gallopa ,Rapidash ,Gallop ,ギャロップ ,1. Generation Gen1 ,Feuer,334,299,259,239,259,309,1699,PU,1.7,95,red,Form 8: Vierbeiner ,Feuerpferd
79,Flegmon ,Flegmon ,Slowpoke ,Yadon ,ヤドン ,1. Generation Gen1 ,WasserPsycho,384,229,179,229,179,129,1329,LC,1.2,36,pink,Form 8: Vierbeiner ,Schnarcher
80,Lahmus ,Lahmus ,Slowbro ,Yadoran ,ヤドラン ,1. Generation Gen1 ,WasserPsycho,394,249,299,319,259,159,1679,BL,1.6,78.5,pink,Form 6: Zweibeiner mit Schweif ,Symbiose
81,Magnetilo ,Magnetilo ,Magnemite ,Coil ,コイル ,1. Generation Gen1 ,ElektroStahl,254,169,289,239,209,189,1349,LC,0.3,6,grey,Form 4: Kopf überwiegend mit Armen ,Magnet
82,Magneton ,Magneton ,Magneton ,Rarecoil ,レアコイル ,1. Generation Gen1 ,ElektroStahl,304,219,339,289,239,239,1629,UU,1,60,grey,Form 11: Multiple Körper ,Magnet
83,Porenta ,Porenta ,Farfetchd ,Kamonegi ,カモネギ ,1. Generation Gen1 ,NormalFlug,308,279,215,209,223,219,1453,PU,0.8,15,brown,Form 9: Vogel-Form ,Wildente
84,Dodu ,Dodu ,Doduo ,Dodo ,ドードー ,1. Generation Gen1 ,NormalFlug,274,269,169,189,169,249,1319,LC,1.4,39.2,brown,Form 7: Kopf überwiegend mit Beinen ,Duovogel
85,Dodri ,Dodri ,Dodrio ,Dodorio ,ドードリオ ,1. Generation Gen1 ,NormalFlug,324,319,219,239,219,299,1619,NU,1.8,85.2,brown,Form 7: Kopf überwiegend mit Beinen ,Trivogel
86,Jurob ,Jurob ,Seel ,Pawou ,パウワウ ,1. Generation Gen1 ,Wasser,334,189,189,209,239,189,1349,LC,1.1,90,white,Form 3: Fisch-Form ,Seehund
87,Jugong ,Jugong ,Dewgong ,Jugon ,ジュゴン ,1. Generation Gen1 ,WasserEis,384,239,239,259,289,239,1649,PU,1.7,120,white,Form 3: Fisch-Form ,Seehund
88,Sleima ,Sleima ,Grimer ,Betbeter ,ベトベター ,1. Generation Gen1 ,Gift,364,259,179,199,199,149,1349,LC,0.9,30,purple,Form 4: Kopf überwiegend mit Armen ,Schlamm
89,Sleimok ,Sleimok ,Muk ,Betbeton ,ベトベトン ,1. Generation Gen1 ,Gift,414,309,229,249,299,199,1699,UU,1.2,30,purple,Form 4: Kopf überwiegend mit Armen ,Schlamm
90,Muschas ,Muschas ,Shellder ,Shellder ,シェルダー ,1. Generation Gen1 ,Wasser,264,229,189,299,149,179,1309,LC,0.3,4,purple,Form 1: Kopf-Körper ,Muschel
91,Austos ,Austos ,Cloyster ,Parshen ,パルシェン ,1. Generation Gen1 ,WasserEis,304,289,269,459,189,239,1749,RU,1.5,132.5,purple,Form 1: Kopf-Körper ,Muschel
92,Nebulak ,Nebulak ,Gastly ,Ghos ,ゴース ,1. Generation Gen1 ,GeistGift,264,169,299,159,169,259,1319,LC,1.3,0.1,purple,Form 1: Kopf-Körper ,Gas
93,Alpollo ,Alpollo ,Haunter ,Ghost ,ゴースト ,1. Generation Gen1 ,GeistGift,294,199,329,189,209,289,1509,NFE,1.6,0.1,purple,Form 4: Kopf überwiegend mit Armen ,Gas
94,Gengar ,Gengar ,Gengar ,Gangar ,ゲンガー ,1. Generation Gen1 ,GeistGift,324,229,359,219,249,319,1699,Uber,1.5,40.5,purple,Form 6: Zweibeiner mit Schweif ,Schatten
95,Onix ,Onix ,Onix ,Iwark ,イワーク ,1. Generation Gen1 ,GesteinBoden,274,189,159,419,189,239,1469,LC,8.8,210,grey,Form 2: Schlangen-Form ,Felsnatter
96,Traumato ,Traumato ,Drowzee ,Sleep ,スリープ ,1. Generation Gen1 ,Psycho,324,195,185,189,279,183,1355,LC,1,32.4,yellow,Form 12: Humanoider Körper ,Hypnose
97,Hypno ,Hypno ,Hypno ,Sleeper ,スリーパー ,1. Generation Gen1 ,Psycho,374,245,245,239,329,233,1665,PU,1.6,75.6,yellow,Form 12: Humanoider Körper ,Hypnose
98,Krabby ,Krabby ,Krabby ,Crab ,クラブ ,1. Generation Gen1 ,Wasser,264,309,149,279,149,199,1349,LC,0.4,6.5,red,Form 14: Kriechende Insekten ,Krabbe
99,Kingler ,Kingler ,Kingler ,Kingler ,キングラー ,1. Generation Gen1 ,Wasser,314,359,199,329,199,249,1649,PU,1.3,60,red,Form 14: Kriechende Insekten ,Kneifer
100,Voltobal ,Voltobal ,Voltorb ,Biriridama ,ビリリダマ ,1. Generation Gen1 ,Elektro,284,159,209,199,209,299,1359,LC,0.5,10.4,red,Form 1: Kopf-Körper ,Ball
101,Lektrobal ,Lektrobal ,Electrode ,Marumine ,マルマイン ,1. Generation Gen1 ,Elektro,324,199,259,239,259,399,1679,PU,1.2,66.6,red,Form 1: Kopf-Körper ,Ball
102,Owei ,Owei ,Exeggcute ,Tamatama ,タマタマ ,1. Generation Gen1 ,PflanzePsycho,324,179,219,259,189,179,1349,LC,0.4,2.5,pink,Form 11: Multiple Körper ,Ei
103,Kokowei ,Kokowei ,Exeggutor ,Nassy ,ナッシー ,1. Generation Gen1 ,PflanzePsycho,394,289,349,269,249,209,1759,NU,2,120,yellow,Form 7: Kopf überwiegend mit Beinen ,Palmfrucht
104,Tragosso ,Tragosso ,Cubone ,Karakara ,カラカラ ,1. Generation Gen1 ,Boden,304,199,179,289,199,169,1339,LC,0.4,6.5,brown,Form 6: Zweibeiner mit Schweif ,Einsam
105,Knogga ,Knogga ,Marowak ,Garagara ,ガラガラ ,1. Generation Gen1 ,Boden,324,259,199,319,259,189,1549,OU,1,45,brown,Form 6: Zweibeiner mit Schweif ,Knochenfan
106,Kicklee ,Kicklee ,Hitmonlee ,Sawamular ,サワムラー ,1. Generation Gen1 ,Kampf,304,339,169,205,319,273,1609,NU,1.5,49.8,brown,Form 12: Humanoider Körper ,Kicker
107,Nockchan ,Nockchan ,Hitmonchan ,Ebiwalar ,エビワラー ,1. Generation Gen1 ,Kampf,304,309,169,257,319,251,1609,NU,1.4,50.2,brown,Form 12: Humanoider Körper ,Puncher
108,Schlurp ,Schlurp ,Lickitung ,Beroringa ,ベロリンガ ,1. Generation Gen1 ,Normal,384,209,219,249,249,159,1469,LC,1.2,65.5,pink,Form 6: Zweibeiner mit Schweif ,Schlecker
109,Smogon ,Smogon ,Koffing ,Dogars ,ドガース ,1. Generation Gen1 ,Gift,284,229,219,289,189,169,1379,LC,0.6,1,purple,Form 1: Kopf-Körper ,Giftwolke
110,Smogmog ,Smogmog ,Weezing ,Matadogas ,マタドガス ,1. Generation Gen1 ,Gift,334,279,269,339,239,219,1679,NU,1.2,9.5,purple,Form 11: Multiple Körper ,Giftwolke
111,Rihorn ,Rihorn ,Rhyhorn ,Sihorn ,サイホーン ,1. Generation Gen1 ,BodenGestein,364,269,159,289,159,149,1389,LC,1,115,grey,Form 8: Vierbeiner ,Stachler
112,Rizeros ,Rizeros ,Rhydon ,Sidon ,サイドン ,1. Generation Gen1 ,BodenGestein,414,359,189,339,189,179,1669,NFE,1.9,120,grey,Form 6: Zweibeiner mit Schweif ,Bohrer
113,Chaneira ,Chaneira ,Chansey ,Lucky ,ラッキー ,1. Generation Gen1 ,Normal,704,109,169,109,309,199,1599,OU,1.1,34.6,pink,Form 6: Zweibeiner mit Schweif ,Ei
114,Tangela ,Tangela ,Tangela ,Monjara ,モンジャラ ,1. Generation Gen1 ,Pflanze,334,209,299,329,179,219,1569,NFE,1,35,blue,Form 7: Kopf überwiegend mit Beinen ,Ranke
115,Kangama ,Kangama ,Kangaskhan ,Garura ,ガルーラ ,1. Generation Gen1 ,Normal,414,289,179,259,259,279,1679,Uber,2.2,80,brown,Form 6: Zweibeiner mit Schweif ,Muttertier
116,Seeper ,Seeper ,Horsea ,Tattu ,タッツー ,1. Generation Gen1 ,Wasser,264,179,239,239,149,219,1289,LC,0.4,8,blue,Form 5: Kopf überwiegend mit Rumpf ,Drache
117,Seemon ,Seemon ,Seadra ,Seadra ,シードラ ,1. Generation Gen1 ,Wasser,314,229,289,289,189,269,1579,NFE,1.2,25,blue,Form 5: Kopf überwiegend mit Rumpf ,Drache
118,Goldini ,Goldini ,Goldeen ,Tosakinto ,トサキント ,1. Generation Gen1 ,Wasser,294,233,169,219,199,225,1339,LC,0.6,15,red,Form 3: Fisch-Form ,Goldfisch
119,Golking ,Golking ,Seaking ,Azumao ,アズマオウ ,1. Generation Gen1 ,Wasser,364,283,229,229,259,235,1599,PU,1.3,39,red,Form 3: Fisch-Form ,Goldfisch
120,Sterndu ,Sterndu ,Staryu ,Hitodeman ,ヒトデマン ,1. Generation Gen1 ,Wasser,264,189,239,209,209,269,1379,LC,0.8,34.5,brown,Form 5: Kopf überwiegend mit Rumpf ,Sternform
121,Starmie ,Starmie ,Starmie ,Starmie ,スターミー ,1. Generation Gen1 ,WasserPsycho,324,249,299,269,269,329,1739,UU,1.1,80,purple,Form 5: Kopf überwiegend mit Rumpf ,Mysteriös
122,Pantimos ,Pantimos ,Mr. Mime ,Barrierd ,バリヤード ,1. Generation Gen1 ,PsychoFee,284,189,299,229,339,279,1619,PU,1.3,54.5,pink,Form 12: Humanoider Körper ,Sperre
123,Sichlor ,Sichlor ,Scyther ,Strike ,ストライク ,1. Generation Gen1 ,KäferFlug,344,319,209,259,259,309,1699,NU,1.5,56,green,Form 13: Geflügelte Insekten ,Mantis
124,Rossana ,Rossana ,Jynx ,Rougela ,ルージュラ ,1. Generation Gen1 ,EisPsycho,334,199,329,169,289,289,1609,NU,1.4,40.6,red,Form 12: Humanoider Körper ,Humanotyp
125,Elektek ,Elektek ,Electabuzz ,Eleboo ,エレブー ,1. Generation Gen1 ,Elektro,334,265,289,213,269,309,1679,NFE,1.1,30,yellow,Form 6: Zweibeiner mit Schweif ,Elektro
126,Magmar ,Magmar ,Magmar ,Boober ,ブーバー ,1. Generation Gen1 ,Feuer,334,289,299,213,269,285,1689,NFE,1.3,44.5,red,Form 6: Zweibeiner mit Schweif ,Brenner
127,Pinsir ,Pinsir ,Pinsir ,Kailios ,カイロス ,1. Generation Gen1 ,Käfer,334,349,209,299,239,269,1699,OU,1.5,55,brown,Form 12: Humanoider Körper ,Kneifkäfer
128,Tauros ,Tauros ,Tauros ,Kentauros ,ケンタロス ,1. Generation Gen1 ,Normal,354,299,179,289,239,319,1679,BL4,1.4,88.4,brown,Form 8: Vierbeiner ,Wildbulle
129,Karpador ,Karpador ,Magikarp ,Koiking ,コイキング ,1. Generation Gen1 ,Wasser,244,119,129,209,139,259,1099,LC,0.9,10,red,Form 3: Fisch-Form ,Fisch
130,Garados ,Garados ,Gyarados ,Gyarados ,ギャラドス ,1. Generation Gen1 ,WasserFlug,394,349,219,257,299,261,1779,OU,6.5,235,blue,Form 2: Schlangen-Form ,Grausam
131,Lapras ,Lapras ,Lapras ,Laplace ,ラプラス ,1. Generation Gen1 ,WasserEis,464,269,269,259,289,219,1769,PU,2.5,220,blue,Form 3: Fisch-Form ,Transport
132,Ditto ,Ditto ,Ditto ,Metamon ,メタモン ,1. Generation Gen1 ,Normal,300,195,195,195,195,195,1275,PU,0.3,4,purple,Form 1: Kopf-Körper ,Transform
